Rectangle Coordinates: [Top-Left: (69, 139), Bottom-Right: (574, 171)]
Rectangle Coordinates: [Top-Left: (871, 125), Bottom-Right: (967, 153)]
Rectangle Coordinates: [Top-Left: (69, 100), Bottom-Right: (574, 131)]
Rectangle Coordinates: [Top-Left: (5, 100), Bottom-Right: (48, 219)]
Rectangle Coordinates: [Top-Left: (6, 95), Bottom-Right: (59, 1512)]
Rectangle Coordinates: [Top-Left: (581, 94), Bottom-Right: (2559, 1482)]
Rectangle Coordinates: [Top-Left: (2238, 44), Bottom-Right: (2418, 82)]
Rectangle Coordinates: [Top-Left: (785, 36), Bottom-Right: (2559, 93)]
Rectangle Coordinates: [Top-Left: (614, 36), Bottom-Right: (784, 85)]
Rectangle Coordinates: [Top-Left: (441, 36), Bottom-Right: (787, 96)]
Rectangle Coordinates: [Top-Left: (260, 36), Bottom-Right: (439, 92)]
Rectangle Coordinates: [Top-Left: (198, 36), Bottom-Right: (258, 92)]
Rectangle Coordinates: [Top-Left: (0, 36), Bottom-Right: (258, 131)]
Rectangle Coordinates: [Top-Left: (439, 1321), Bottom-Right: (784, 1450)]
Rectangle Coordinates: [Top-Left: (1829, 1295), Bottom-Right: (2173, 1450)]
Rectangle Coordinates: [Top-Left: (786, 1288), Bottom-Right: (1132, 1450)]
Rectangle Coordinates: [Top-Left: (2183, 1286), Bottom-Right: (2521, 1450)]
Rectangle Coordinates: [Top-Left: (91, 1286), Bottom-Right: (437, 1450)]
Rectangle Coordinates: [Top-Left: (2176, 1224), Bottom-Right: (2521, 1253)]
Rectangle Coordinates: [Top-Left: (1829, 1224), Bottom-Right: (2173, 1252)]
Rectangle Coordinates: [Top-Left: (1481, 1224), Bottom-Right: (1827, 1450)]
Rectangle Coordinates: [Top-Left: (1134, 1224), Bottom-Right: (1479, 1450)]
Rectangle Coordinates: [Top-Left: (786, 1224), Bottom-Right: (1132, 1254)]
Rectangle Coordinates: [Top-Left: (440, 1224), Bottom-Right: (784, 1251)]
Rectangle Coordinates: [Top-Left: (91, 1224), Bottom-Right: (437, 1253)]
Rectangle Coordinates: [Top-Left: (1829, 1061), Bottom-Right: (2173, 1222)]
Rectangle Coordinates: [Top-Left: (2175, 1059), Bottom-Right: (2521, 1222)]
Rectangle Coordinates: [Top-Left: (439, 1059), Bottom-Right: (784, 1222)]
Rectangle Coordinates: [Top-Left: (1481, 1058), Bottom-Right: (1827, 1222)]
Rectangle Coordinates: [Top-Left: (786, 1058), Bottom-Right: (1132, 1222)]
Rectangle Coordinates: [Top-Left: (91, 1058), Bottom-Right: (437, 1218)]
Rectangle Coordinates: [Top-Left: (2176, 996), Bottom-Right: (2521, 1026)]
Rectangle Coordinates: [Top-Left: (1829, 996), Bottom-Right: (2173, 1026)]
Rectangle Coordinates: [Top-Left: (1481, 996), Bottom-Right: (1827, 1026)]
Rectangle Coordinates: [Top-Left: (1134, 996), Bottom-Right: (1479, 1222)]
Rectangle Coordinates: [Top-Left: (786, 996), Bottom-Right: (1132, 1026)]
Rectangle Coordinates: [Top-Left: (439, 996), Bottom-Right: (784, 1027)]
Rectangle Coordinates: [Top-Left: (91, 996), Bottom-Right: (437, 1028)]
Rectangle Coordinates: [Top-Left: (91, 893), Bottom-Right: (437, 994)]
Rectangle Coordinates: [Top-Left: (439, 862), Bottom-Right: (784, 994)]
